PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Group,Deck,CabinNumber,Side,LastName,N_family_members,N_group_members,Regular,Luxury,TotalSpendings
0067_01,0.0,1.0,1.0,0.0,0.0,1,43.0,6.0,2.0,1.0,1185.0,5.0,2.0,0.0,0.0,0.0
0067_02,0.0,0.0,2.0,18.0,0.0,1,43.0,6.0,2.0,1.0,1185.0,5.0,2.0,636.0,1.0,304.0
0067_03,0.0,0.0,0.0,21.0,0.0,0,43.0,5.0,549.0,1.0,1185.0,5.0,2.0,37.0,1442.0,1094.0
0068_01,2.0,0.0,2.0,24.85498199302528,0.0,0,44.0,4.0,1153.0,1.0,174.0,2.0,0.0,2.0,930.0,593.0
0069_01,0.0,0.0,2.0,42.0,0.0,1,45.0,5.0,647.0,1.0,759.8184092918395,4.035163039451825,0.0,9.0,811.0,490.0
0070_01,0.0,0.0,2.0,19.0,0.0,0,46.0,5.0,329.0,0.0,251.0,5.0,0.0,5.0,831.0,507.0
0071_01,0.0,0.0,2.0,17.0,0.0,0,47.0,5.0,440.0,0.0,584.0,2.0,0.0,1341.0,66.0,1189.0
0072_01,0.0,0.0,2.0,14.0,0.0,0,48.0,5.0,749.0,1.0,238.0,6.0,0.0,1.0,945.0,605.0
0073_01,2.0,0.0,1.0,37.0,0.0,0,49.0,3.0,1042.0,0.0,1225.0,7.0,0.0,739.0,57.0,470.0
0074_01,1.0,0.0,2.0,42.0,0.0,1,50.0,2.0,1042.0,1.0,1371.0,3.0,0.0,1859.0,446.0,2141.0
0076_01,2.0,0.0,2.0,27.0,0.0,1,51.0,5.0,846.0,1.0,536.0,9.0,0.0,882.0,133.0,662.0
0077_01,2.0,0.0,2.0,28.0,0.0,1,52.0,5.0,549.0,0.0,198.0,0.0,0.0,1023.0,14.0,745.0
0078_01,1.0,0.0,2.0,38.0,0.0,0,53.0,2.0,1153.0,1.0,1566.0,1.0,0.0,1784.0,2196.0,2289.0
0081_01,0.0,1.0,2.0,13.0,0.0,0,54.0,6.0,329.0,1.0,2110.0,8.0,0.0,0.0,0.0,0.0
0082_01,2.0,0.0,2.0,42.0,0.0,0,55.0,5.0,647.0,0.0,543.0,3.0,2.0,0.0,2134.0,2045.0
0082_02,2.0,1.0,2.0,2.0,0.0,1,55.0,5.0,647.0,0.0,543.0,3.0,2.0,0.0,0.0,0.0
0082_03,2.0,0.0,2.0,8.0,0.0,1,55.0,5.0,647.0,0.0,1140.3079430076064,4.480134625052762,2.0,0.0,0.0,0.0
0084_01,0.0,0.0,2.0,24.0,0.0,1,56.0,6.0,440.0,1.0,481.0,4.0,0.0,0.0,632.0,304.0
0085_01,1.0,1.0,2.0,40.0,0.0,1,57.0,2.0,1264.0,1.0,642.0,1.0,0.0,0.0,0.0,0.0
0086_01,0.0,0.0,2.0,43.0,0.0,0,58.0,5.0,749.0,0.0,1140.0,4.0,0.0,0.0,1138.0,775.0
0088_01,2.0,1.0,1.0,45.0,0.0,1,59.0,4.0,1264.0,1.0,1764.0,2.0,0.0,0.0,0.0,0.0
0090_01,0.0,1.0,2.0,35.0,0.0,1,60.0,6.0,549.0,1.0,1780.0,9.0,0.0,0.0,0.0,0.0
0091_01,0.0,1.0,2.0,26.0,0.0,1,61.0,6.0,647.0,1.0,2215.0,10.0,1.0,0.0,0.0,0.0
0091_02,0.0,0.0,2.0,27.0,0.0,0,61.0,5.0,932.0,1.0,2215.0,10.0,1.0,658.0,175.0,503.0
0092_01,0.0,0.0,2.0,19.0,0.0,0,62.0,6.0,1707.0,0.0,626.0,3.0,2.0,606.0,35.0,304.0
0092_02,0.0,1.0,2.0,0.0,0.0,1,62.0,6.0,1707.0,0.0,969.0,6.0,2.0,0.0,0.0,0.0
0092_03,0.0,1.0,2.0,3.0,0.0,1,62.0,6.0,1707.0,0.0,969.0,6.0,2.0,0.0,0.0,0.0
0097_01,1.0,0.0,2.0,54.0,0.0,0,63.0,0.0,931.0,1.0,700.0,3.0,0.0,977.0,569.0,1040.0
0098_01,0.0,0.0,2.0,26.0,0.0,0,64.0,6.0,112.0,0.0,338.0,4.0,1.0,773.0,32.0,483.0
0098_02,0.0,0.0,2.0,26.0,0.0,1,64.0,6.0,112.0,0.0,338.0,4.0,1.0,1618.0,83.0,1606.0
0099_01,0.0,0.0,1.0,23.0,0.0,0,65.0,5.0,920.0,0.0,1184.0,2.0,1.0,847.0,307.0,738.0
0099_02,0.0,0.8374746286902551,2.0,2.0,0.0,1,65.0,6.0,220.0,0.0,468.0,3.0,1.0,0.0,0.0,0.0
0101_01,2.0,1.0,2.0,31.0,0.0,1,66.0,2.837245874053226,424.75094315545675,0.7465360989927005,2043.0,2.0,0.0,0.0,0.0,0.0
0102_01,0.0,0.0,2.0,18.0,0.0,0,67.0,5.0,965.0,1.0,990.0,3.0,0.0,0.0,834.0,506.0
0103_01,0.0,0.0,2.0,24.0,0.0,1,68.0,5.0,976.0,1.0,1276.0,5.0,2.0,0.0,17.0,15.0
0103_02,0.0,1.0,0.0,9.0,0.0,1,68.0,6.0,846.0,1.0,1276.0,5.0,2.0,0.0,0.0,0.0
0103_03,0.0,1.0,2.0,6.0,0.0,0,68.0,6.0,846.0,1.0,1276.0,5.0,2.0,0.0,0.0,0.0
0105_01,0.0,0.0,2.0,27.0,0.0,0,69.0,5.0,943.0,0.0,410.0,6.0,0.0,513.0,122.0,302.0
0107_01,2.0,0.0,2.0,21.0,0.0,0,70.0,3.0,931.0,1.0,929.0,2.0,0.0,22.0,1338.0,988.0
0108_01,0.0,1.0,2.0,23.0,0.0,0,71.0,6.0,920.0,1.0,914.0,7.0,2.0,0.0,0.0,0.0
0108_02,0.0,0.0,2.0,31.0,0.0,0,71.0,6.0,920.0,1.0,1140.3330469353548,4.201781719914076,2.0,308.0,493.0,479.0
0108_03,0.0,0.0,2.0,0.0,0.0,1,71.0,6.0,920.0,1.0,914.0,7.0,2.0,0.0,0.0,0.0
0110_01,1.0,0.0,2.0,32.0,0.0,0,72.0,3.814219593046135,1028.6343827075314,0.46146342926577427,26.0,4.0,3.0,386.0,1957.0,1810.0
0110_02,1.0,0.0,2.0,40.0,0.0,0,72.0,1.0,1264.0,0.0,212.0,1.0,3.0,313.0,1306.0,1098.0
0110_03,1.0,0.0,2.0,42.0,0.0,1,72.0,1.0,1264.0,0.0,26.0,4.0,3.0,1904.0,1946.0,2290.0
0110_04,1.0,1.0,2.0,28.0,0.0,1,72.0,1.0,1264.0,0.0,26.0,4.0,3.0,0.0,0.0,0.0
0111_01,1.0,1.0,2.0,29.0,0.0,1,73.0,4.0,1375.0,1.0,1984.0,4.0,0.0,0.0,0.0,0.0
0112_01,1.0,0.0,0.0,48.0,1.0,1,74.0,1.0,1.0,1.0,498.0,1.0,0.0,1448.0,30.0,1325.0
0113_01,0.0,0.0,2.0,64.0,0.0,1,75.0,5.0,965.0,0.0,353.0,4.0,0.0,727.0,0.0,398.0
0114_01,0.0,0.0,2.0,27.0,0.0,0,76.0,6.0,932.0,1.0,151.0,4.0,0.0,525.0,285.0,495.0
0115_01,2.0,1.0,2.0,26.0,0.0,1,77.0,5.0,976.0,0.0,1500.0,4.0,0.0,0.0,0.0,0.0
0116_01,1.0,0.0,2.0,33.0,0.0,1,78.0,3.0,1153.0,0.0,1987.0,1.0,0.0,1356.0,365.0,1321.0
0119_01,1.0,0.0,2.0,39.0,0.0,0,79.0,0.0,0.0,0.0,465.0,4.0,1.0,1379.0,2108.0,2155.0
0119_02,1.0,1.0,2.0,13.0,0.0,1,79.0,0.0,0.0,0.0,465.0,4.0,1.0,0.0,0.0,0.0
0120_01,2.0,1.0,2.0,24.0,0.0,1,80.0,5.0,987.0,0.0,1764.0,2.0,0.0,0.0,0.0,0.0
0122_01,0.0,0.0,2.0,29.0,0.0,0,81.0,6.0,943.0,1.0,938.0,5.0,0.0,0.0,699.0,369.0
0123_01,0.0,0.0,2.0,18.0,0.0,0,82.0,5.0,1009.0,0.0,702.0,5.0,0.0,583.0,55.0,301.0
0126_01,2.0,1.0,2.0,67.0,0.0,1,83.0,5.0,1009.0,1.0,1333.0,2.0,0.0,0.0,0.0,0.0
0127_01,2.0,0.0,2.0,35.0,0.0,0,84.0,4.0,1485.0,1.0,1311.0,2.0,0.0,281.0,653.0,579.0
0128_01,2.0,0.0,2.0,61.0,1.0,0,85.0,3.0,1042.0,1.0,723.0,1.0,1.0,324.0,1661.0,1424.0
0128_02,2.0,0.0,2.0,45.0,0.0,0,85.0,4.0,1596.0,1.0,723.0,1.0,1.0,6.0,1497.0,1138.0
0129_01,0.0,1.0,1.0,22.0,0.0,1,86.0,6.0,954.0,1.0,753.0,4.0,0.0,0.0,0.0,0.0
0133_01,2.0,1.0,2.0,19.0,0.0,1,87.0,5.0,1031.0,1.0,197.0,2.0,1.0,0.0,0.0,0.0
0133_02,2.0,0.0,2.0,36.0,0.0,0,87.0,3.0,1264.0,1.0,197.0,2.0,1.0,0.0,1670.0,1351.0
0134_01,0.0,0.0,2.0,19.0,0.0,1,88.0,6.0,749.0,0.0,925.0,3.0,0.0,671.0,0.0,342.0
0136_01,0.0,0.0,1.0,47.0,0.0,0,89.0,6.0,965.0,1.0,930.3139628163892,5.895206846259983,0.0,491.0,163.0,320.0
0138_01,0.0,1.0,2.0,13.0,0.0,1,90.0,6.0,846.0,0.0,814.0,3.0,1.0,0.0,0.0,0.0
0138_02,0.0,0.0,0.1876328944463789,34.0,0.0,0,90.0,4.0,1264.0,0.0,814.0,3.0,1.0,22.0,697.0,388.0
0139_01,1.0,1.0,0.0,35.0,0.0,1,91.0,2.0,1375.0,1.0,1385.0,8.0,0.0,0.0,0.0,0.0
0140_01,0.0,1.0,2.0,24.0,0.0,1,92.0,6.0,920.0,0.0,1290.0,5.0,1.0,0.0,0.0,0.0
0140_02,0.0,0.0,2.0,26.0,0.0,0,92.0,5.0,1031.0,0.0,2168.0,3.0,1.0,0.0,819.0,490.0
0141_01,2.0,0.0,2.0,31.0,0.0,0,93.0,5.0,1043.0,0.0,931.0,1.0,0.0,97.0,0.0,49.0
0144_01,0.0,0.0,2.0,20.0,0.0,1,94.0,5.0,1054.0,1.0,552.0,4.0,0.0,568.0,0.0,232.0
0146_01,0.0,0.0,2.0,56.0,0.0,0,95.0,6.0,987.0,1.0,2195.0,7.0,0.0,0.0,0.0,0.0
0147_01,0.0,1.0,2.0,50.0,0.0,1,96.0,6.0,998.0,1.0,1023.0,8.0,0.0,0.0,0.0,0.0
0148_01,2.0,0.0,2.0,42.0,0.0,0,97.0,5.0,1054.0,0.0,1489.0,0.0,0.0,10.0,996.0,657.0
0149_01,0.0,1.0,0.0,34.58531557631564,0.0,1,98.0,6.0,1009.0,1.0,1023.0,8.0,0.0,0.0,0.0,0.0
0151_01,0.0,1.0,0.0,38.0,0.0,0,99.0,6.0,932.0,0.0,1851.0,5.0,0.0,0.0,0.0,0.0
0152_01,0.0,0.0,1.6045762560024972,41.0,0.0,0,100.0,5.0,1065.0,0.0,668.0,4.0,0.0,0.0,537.0,213.0
0160_01,0.0,0.0,2.0,22.0,0.0,0,101.0,6.0,954.0,0.0,76.0,0.0,0.0,0.0,1914.0,1671.0
0163_01,1.0,1.0,2.0,26.0,0.0,1,102.0,1.0,1596.0,0.0,968.0,5.0,1.0,0.0,0.0,0.0
0163_02,1.0,1.0,2.0,17.0,0.0,1,102.0,1.0,1596.0,0.0,968.0,5.0,1.0,0.0,0.0,0.0
0164_01,0.0,0.0,2.0,57.0,0.0,1,103.0,6.0,1020.0,1.0,1036.0,3.0,1.0,1202.0,189.37004078466217,949.0
0164_02,0.0,1.0,1.0,17.0,0.0,0,103.0,6.0,1020.0,1.0,1036.0,3.0,1.0,0.0,0.0,0.0
0165_01,2.0,1.0,2.0,35.0,0.0,1,104.0,5.0,1120.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0
0167_01,2.0,1.0,2.0,13.0,0.0,1,105.0,5.0,1098.0,1.0,728.0,3.0,1.0,0.0,0.0,0.0
0167_02,2.0,0.0,2.0,27.0,0.0,0,105.0,5.0,1098.0,1.0,728.0,3.0,1.0,48.0,1232.0,899.0
0169_01,0.0,1.0,2.0,31.0,0.0,0,106.0,6.0,965.0,0.0,709.0,1.0,0.0,0.0,0.0,0.0
0170_01,0.0,0.0,2.0,24.0,0.0,0,107.0,4.0,2.0,1.0,1281.0,3.0,0.0,0.0,714.0,383.0
0171_01,0.0,1.0,1.0,19.0,0.0,1,108.0,6.0,1043.0,1.0,874.0,6.0,0.0,0.0,0.0,0.0
0172_01,0.0,1.0,2.0,32.0,0.0,1,109.0,6.0,976.0,0.0,1096.0,5.0,0.0,0.0,0.0,0.0
0173_01,0.0,0.0,2.0,58.0,0.0,1,110.0,4.0,112.0,1.0,891.0,3.0,0.0,863.0,5.0,553.0
0174_01,0.0,0.0,0.0,21.0,0.0,0,111.0,5.0,1131.0,0.0,1167.0,5.0,0.0,16.0,507.0,201.0
0177_01,1.0,0.0,2.0,38.0,0.0,0,112.0,1.0,931.0,1.0,1072.0,3.0,0.0,1894.0,2260.0,2347.0
0178_01,2.0,0.0,2.0,38.0,0.0,0,113.0,3.0,1375.0,1.0,1148.0,6.0,0.0,160.0,1826.0,1584.0
0179_01,0.0,0.0,2.0,19.0,0.0,1,114.0,6.0,998.0,0.0,2152.0,8.0,2.0,801.0,14.0,494.0
0179_02,0.0,0.0,2.0,0.0,0.0,0,114.0,6.0,998.0,0.0,2152.0,8.0,2.0,0.0,0.0,0.0
0179_03,0.0,0.0,2.0,3.0,0.0,1,114.0,6.0,998.0,0.0,2152.0,8.0,2.0,0.0,0.0,0.0
0181_01,0.0,0.0,2.0,20.0,0.0,0,115.0,6.0,1009.0,0.0,251.0,5.0,0.0,3.0,342.0,123.0
0182_01,1.0,1.0,2.0,24.0,0.0,1,116.0,2.0,1042.0,0.0,597.0,1.0,0.0,0.0,0.0,0.0
0183_01,0.0,0.0,2.0,37.0,0.0,1,117.0,5.0,1109.0,1.0,2147.0,5.0,0.0,515.0,227.0,414.0
0186_01,0.0,0.0,2.0,25.0,0.0,0,118.0,6.0,1020.0,0.0,1833.0,5.0,0.0,0.0,908.0,575.0
0188_01,0.0,1.0,2.0,56.0,0.0,1,119.0,6.0,1054.0,1.0,1739.0,1.0,0.0,0.0,0.0,0.0
0189_01,0.0,0.0,0.0,49.0,0.0,0,120.0,4.0,1596.0,0.0,210.0,3.0,0.0,376.0,336.0,383.0
0190_01,0.0,1.0,0.0,11.0,0.0,0,121.0,6.0,1065.0,1.0,937.7408480231047,3.5857239716257445,0.0,0.0,0.0,0.0
0192_01,0.0,1.0,2.0,1.0,0.0,1,122.0,6.0,1031.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0
0192_02,0.0,0.0,2.0,8.0,0.0,0,122.0,6.0,1031.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0
0192_03,0.0,0.0,2.0,39.0,0.0,0,122.0,6.0,1031.0,0.0,2.0,8.0,2.0,10.0,815.0,496.0
0193_01,2.0,1.0,2.0,2.0,0.0,1,123.0,5.0,1165.0,0.0,1656.0,3.0,2.0,0.0,0.0,0.0
0193_02,2.0,0.0,2.0,23.0,0.0,0,123.0,5.0,1165.0,0.0,1656.0,3.0,2.0,8.0,0.0,7.0
0193_03,2.0,0.0,2.0,0.0,0.0,1,123.0,5.0,1165.0,0.0,1656.0,3.0,2.0,0.0,0.0,0.0
0195_01,2.0,0.0,2.0,39.0,0.0,1,124.0,5.0,1176.0,0.0,728.0,3.0,0.0,777.0,356.0,720.0
0196_01,2.0,0.0,1.0,25.0,0.0,0,125.0,3.0,1264.0,0.0,645.0,7.0,0.0,650.0,943.0,1000.0
0197_01,1.0,0.0,2.0,36.0,0.0,0,126.0,2.0,1264.0,0.0,599.0,3.0,0.0,857.0,1144.0,1225.0
0198_01,0.0,1.0,1.0,52.0,0.0,1,127.0,6.0,1043.0,0.0,476.0,6.0,0.0,0.0,0.0,0.0
0199_01,0.0,1.0,2.0,18.0,0.0,0,128.0,6.0,1076.0,1.0,1368.0,4.0,0.0,0.0,0.0,0.0
0200_01,0.0,1.0,2.0,15.0,0.0,1,129.0,6.0,1054.0,0.0,450.0,2.0,0.0,0.0,0.0,0.0
0201_01,1.0,1.0,2.0,35.0,0.0,1,130.0,1.0,1042.0,1.0,86.0,3.0,1.0,0.0,0.0,0.0
0201_02,1.0,1.0,2.0,47.0,0.0,1,130.0,1.0,1042.0,1.0,86.0,3.0,1.0,0.0,0.0,0.0
0202_01,1.0,1.0,0.0,45.0,0.0,1,131.0,1.0,1707.0,0.0,644.0,1.0,1.0,0.0,0.0,0.0
0202_02,1.0,0.0,0.0,29.043281103790374,0.0,1,131.0,0.0,931.0,0.0,644.0,1.0,1.0,98.35000929447229,1116.0,752.0
0203_01,1.0,1.0,2.0,51.0,0.0,1,132.0,2.0,1596.0,1.0,949.0,0.0,0.0,0.0,0.0,0.0
0205_01,0.0,0.0,2.0,29.0,0.0,0,133.0,6.0,1087.0,1.0,1447.0,15.0,0.0,68.0,632.0,369.0
0206_01,1.0,0.0,0.0,32.57518749669109,0.0,1,134.0,2.0,1707.0,1.0,263.0,0.0,0.0,1212.0,1064.0,1414.0
0207_01,0.0,1.0,1.0,19.0,0.0,0,135.0,6.0,1065.0,0.0,1262.0,5.0,0.0,0.0,0.0,0.0
0210_01,0.7440915038970833,1.0,0.0,24.0,0.0,1,136.0,3.0,1375.0,0.0,1071.0,2.0,0.0,0.0,0.0,0.0
0211_01,2.0,0.0,2.0,29.0,0.0,1,137.0,5.0,1198.0,0.0,61.0,1.0,2.0,137.0,819.0,588.0
0211_02,2.0,1.0,2.0,11.0,0.0,1,137.0,5.0,1198.0,0.0,61.0,1.0,2.0,0.0,0.0,0.0
0211_03,2.0,0.0,2.0,17.0,0.0,0,137.0,5.0,1198.0,0.0,540.0,1.0,2.0,291.0,917.0,760.0
0212_01,0.0,0.0,2.0,13.0,0.0,0,138.0,4.0,1707.0,0.0,2208.0,3.0,1.0,0.0,882.0,547.0
0212_02,0.0,0.0,2.0,35.0,0.0,0,138.0,5.0,1209.0,0.0,2208.0,3.0,1.0,186.0,476.0,330.0
0213_01,0.0,0.0,2.0,21.0,0.0,0,139.0,5.0,1220.0,0.0,1399.0,9.0,0.0,269.0,452.0,389.0
0216_01,0.0,0.0,0.0,21.0,0.0,0,140.0,5.0,1154.0,1.0,818.0,13.0,0.0,56.0,1419.0,1079.0
0217_01,0.0,0.0,2.0,38.0,0.0,0,141.0,5.0,1231.0,0.0,1835.0,7.0,0.0,0.0,1244.0,886.0
0219_01,0.0,1.0,2.0,19.0,0.0,1,142.0,6.0,1109.0,0.0,1720.0,6.0,0.0,0.0,0.0,0.0
0220_01,0.0,1.0,2.0,2.0,0.0,1,143.0,6.0,1120.0,0.0,2182.0,9.0,6.0,0.0,0.0,0.0
0220_02,0.0,0.0,2.0,0.0,0.0,1,143.0,6.0,1120.0,0.0,2182.0,9.0,6.0,0.0,0.0,0.0
0220_03,0.0,1.0,2.0,13.0,0.0,0,143.0,6.0,1120.0,0.0,2182.0,9.0,6.0,0.0,0.0,0.0
